lemma,y_clue,n_clue,y_rating_yYbnN,n_rating_yYbnN,notes
financer,Subventionner,Donner des fonds,Y,b,
députer,Mandater,Envoyer en mission,y,n,
fonder,Bâtir,Mettre en place,Y,b,
confisquer,Saisir,Mettre la main,y,N,
jeter,Lancer,Mettre dehors,y,b,""
privilégier,Favoriser,Mettre en avant,Y,b,
attaquer,Assaillir,Donner l'assaut,y,n,
intéresser,Captiver,Mettre en avant,Y,N,
ralentir,Modérer,Aller moins vite,b,y,
faire,Exécuter,Mettre en œuvre,y,y,
recruter,Embaucher,Donner du travail,Y,b,
arroser,Mouiller,Mettre de l'eau,y,N,
appréhender,Saisir,Mettre la main,,,
signifier,Vouloir dire,Faire savoir,y,N,
remplir,Combler,Mettre un contenu,Y,b,
exporter,Vendre à l'étranger,Faire passer la frontière,b,N,
punir,Sanctionner,Mettre en peine,Y,b,
perdre,Égarer,Ne plus avoir,Y,N,
exposer,Étaler,Mettre à la vue,b,b,
plier,Courber,Donner une courbe,Y,b,
causer,Engendrer,Donner lieu,Y,y,
qualifier,Caractériser,Donner un nom,Y,N,
impliquer,Englober,Mettre en cause,,,
démentir,Réfuter,Mettre en doute,Y,N,
découvrir,Dénicher,Mettre au jour,y,N,
effrayer,Terrifier,Faire peur,Y,y,
mener,Conduire,Faire avancer,y,b,
dissiper,Disperser,Mettre en l'air,,,
croire,Penser,Avoir foi,y,b,
bouillir,Cuire,Mettre à ébullition,b,b,
